Model, Phase, Block, Item, Response, Accuracy, Clusters number
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 1, 2, 1, -1, 1,
SUSTAIN, training, 1, 10, 1, 1, 1,
SUSTAIN, training, 1, 63, 1, 0, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 1, 63, 2, -1, 1,
SUSTAIN, training, 1, 2, 2, 0, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 1, 9, 1, -1, 1,
SUSTAIN, training, 1, 55, 1, 0, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 1, 64, 2, -1, 1,
SUSTAIN, training, 1, 1, 2, 0, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 1, 56, 2, -1, 1,
SUSTAIN, training, 1, 64, 2, 1, 1,
SUSTAIN, training, 1, 63, 2, 1, 1,
SUSTAIN, training, 1, 2, 2, 0, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, -1, 1,
SUSTAIN, training, 1, 1, 2, 0, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 1, 56, 2, -1, 1,
SUSTAIN, training, 1, 63, 2, 1, 1,
SUSTAIN, training, 1, 9, 2, 0, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 1, 55, 2, -1, 1,
SUSTAIN, training, 1, 64, 2, 1, 1,
SUSTAIN, training, 1, 63, 2, 1, 1,
SUSTAIN, training, 1, 2, 2, 0, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 1, 2, 1, -1, 1,
SUSTAIN, training, 1, 9, 1, 1, 1,
SUSTAIN, training, 1, 56, 1, 0, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, -1, 1,
SUSTAIN, training, 1, 63, 2, 1, 1,
SUSTAIN, training, 1, 64, 2, 1, 1,
SUSTAIN, training, 1, 56, 2, 1, 1,
SUSTAIN, training, 1, 9, 2, 0, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 1, 56, 2, -1, 1,
SUSTAIN, training, 1, 2, 2, 0, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 1, 9, 1, -1, 1,
SUSTAIN, training, 1, 2, 1, 1, 1,
SUSTAIN, training, 1, 55, 1, 0, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 1, 9, 1, -1, 1,
SUSTAIN, training, 1, 1, 1, 1, 1,
SUSTAIN, training, 1, 10, 1, 1, 1,
SUSTAIN, training, 1, 55, 1, 0, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 1, 63, 2, -1, 1,
SUSTAIN, training, 1, 64, 2, 1, 1,
SUSTAIN, training, 1, 55, 2, 1, 1,
SUSTAIN, training, 1, 56, 2, 1, 1,
SUSTAIN, training, 1, 2, 2, 0, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 1, 10, 1, -1, 1,
SUSTAIN, training, 1, 55, 1, 0, 2,
SUSTAIN, training, 1, 56, 2, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 1, 56, 2, -1, 1,
SUSTAIN, training, 1, 10, 2, 0, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 2, 1, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 2, 64, 2, 1, 2,
SUSTAIN, training, 2, 10, 1, 1, 2,
SUSTAIN, training, 2, 2, 1, 1, 2,
SUSTAIN, training, 2, 55, 2, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 1, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
SUSTAIN, training, 2, 56, 2, 1, 2,
SUSTAIN, training, 3, 63, 2, 1, 2,
SUSTAIN, training, 3, 56, 2, 1, 2,
SUSTAIN, training, 3, 10, 1, 1, 2,
SUSTAIN, training, 3, 55, 2, 1, 2,
SUSTAIN, training, 3, 2, 1, 1, 2,
SUSTAIN, training, 3, 64, 2, 1, 2,
SUSTAIN, training, 3, 9, 1, 1, 2,
SUSTAIN, training, 3, 1, 1, 1, 2,
SUSTAIN, training, 4, 9, 1, 1, 2,
SUSTAIN, training, 4, 1, 1, 1, 2,
SUSTAIN, training, 4, 55, 2, 1, 2,
SUSTAIN, training, 4, 63, 2, 1, 2,
SUSTAIN, training, 4, 2, 1, 1, 2,
SUSTAIN, training, 4, 10, 1, 1, 2,
SUSTAIN, training, 4, 56, 2, 1, 2,
SUSTAIN, training, 4, 64, 2, 1, 2,
SUSTAIN, training, 1, 56, 2, -1, 1,
SUSTAIN, training, 1, 2, 2, 0, 2,
SUSTAIN, training, 1, 63, 2, 1, 2,
SUSTAIN, training, 1, 64, 2, 1, 2,
SUSTAIN, training, 1, 55, 2, 1, 2,
SUSTAIN, training, 1, 1, 1, 1, 2,
SUSTAIN, training, 1, 9, 1, 1, 2,
SUSTAIN, training, 1, 10, 1, 1, 2,
SUSTAIN, training, 2, 9, 1, 1, 2,
SUSTAIN, training, 2, 63, 2, 1, 2,
